N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4240756034851074,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.426673412322998,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4119031429290771,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.3908514976501465,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6272768974304199,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6145505905151367,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6192479133605957,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.617335319519043,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6202514171600342,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6887924671173096,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6233029365539551,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6184329986572266,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6157448291778564,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6240887641906738,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.696287631988525,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.699787616729736,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.419460773468018,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.740485906600952,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.628028869628906,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.508181571960449,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.612948894500732,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.666239500045776,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.568835258483887,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.496783494949341,1
4,2,,,,,,1
4,2,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
4,2,,,,,,1
4,2,,,,,,1
5,1,,,,,,1
