N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE,METHOD
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.0467579364777,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.9314796924591,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,197.7339622974396,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.86028623580933,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.1147513389588,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.53882575035087,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.92332482337952,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.4085412025452,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.08852195739743,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.55816888809204,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,173.7932207584381,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.86299633979797,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.00835752487183,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.15373301506042,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.93431091308594,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.47577905654907,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.47983193397522,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.41457891464233,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.63841581344604,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.90617847442627,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.99965262413025,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.68461775779724,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.3349506855011,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0956587791443,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.15120434761047,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.1507694721222,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.93579268455505,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.75123834609985,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0815007686615,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0951840877533,,,,,1.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
