N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7707102298736572,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.8010139465332031,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.774958610534668,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7725591659545898,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7659509181976318,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7570745944976809,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7858150005340576,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7609138488769531,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7606377601623535,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.762883186340332,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7560808658599854,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.76495099067688,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7870876789093018,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3026678562164306,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2999508380889892,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.300433874130249,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3032741546630859,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3034772872924804,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3043856620788574,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3025248050689697,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3037810325622558,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3062818050384521,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3026695251464844,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3017024993896484,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3028407096862793,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3019006252288818,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3078033924102783,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3043293952941894,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9411232471466064,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9419853687286376,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9473190307617188,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9389629364013672,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9373950958251952,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9389336109161376,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9396357536315918,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.945502758026123,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9430863857269288,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9416818618774414,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9376711845397948,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9417824745178224,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9370367527008056,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9397802352905272,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9437885284423828,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.7418060302734375,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.787680149078369,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.648336172103882,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.649030685424805,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.658761262893677,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.676038026809692,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.6628289222717285,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.585038900375366,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.565160751342773,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.562211275100708,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.5323216915130615,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.542874813079834,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.561417102813721,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.586797475814819,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.551724910736084,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.454684495925903,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4580094814300537,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4562890529632568,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4692671298980713,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4632253646850586,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.470877170562744,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4608492851257324,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4541456699371338,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.465975284576416,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4670820236206057,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.462834119796753,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4541356563568115,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4607112407684326,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.461430311203003,3,-1.0,-1.0,-1.0,-1.0
2,4,135017.0,-135017.0,10.0,10.0,1.4499874114990234,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.18792462348938,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.1977856159210205,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.224107265472412,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.2035508155822754,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.209195613861084,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.196011781692505,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.201328754425049,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.240746021270752,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.27064847946167,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.18457293510437,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.204278945922852,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.2014193534851074,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.1948039531707764,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.190773725509644,3,-1.0,-1.0,-1.0,-1.0
2,5,210120.00000000003,-210120.00000000003,8.0,19.0,3.196134328842163,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8778679370880127,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.877382755279541,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.856095790863037,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8725297451019287,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8706316947937007,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8752899169921875,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8816020488739007,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.867225885391236,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8722949028015137,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.863014459609985,3,-1.0,-1.0,-1.0,-1.0
