N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,FLAG,ith_test
1,4,145006.99999999997,-145006.99999999997,5,9,1.113649606704712,0,0
1,4,145006.99999999997,-145006.99999999997,5,9,0.4455626010894775,0,1
1,4,145006.99999999997,-145006.99999999997,5,9,0.4489142894744873,0,2
1,4,145006.99999999997,-145006.99999999997,5,9,0.4507653713226318,0,3
1,4,145006.99999999997,-145006.99999999997,5,9,0.4452106952667236,0,4
1,4,145006.99999999997,-145006.99999999997,5,9,0.4467251300811767,0,5
1,4,145006.99999999997,-145006.99999999997,5,9,0.4471495151519775,0,6
1,4,145006.99999999997,-145006.99999999997,5,9,0.4430019855499267,0,7
1,4,145006.99999999997,-145006.99999999997,5,9,0.4470095634460449,0,8
1,4,145006.99999999997,-145006.99999999997,5,9,0.4449398517608642,0,9
1,4,145006.99999999997,-145006.99999999997,5,9,0.4475209712982178,1,0
1,4,145006.99999999997,-145006.99999999997,5,9,0.4466884136199951,1,1
1,4,145006.99999999997,-145006.99999999997,5,9,0.4488129615783691,1,2
1,4,145006.99999999997,-145006.99999999997,5,9,0.4465715885162353,1,3
1,4,145006.99999999997,-145006.99999999997,5,9,0.448052167892456,1,4
1,4,145006.99999999997,-145006.99999999997,5,9,0.4483752250671386,1,5
1,4,145006.99999999997,-145006.99999999997,5,9,0.4482161998748779,1,6
1,4,145006.99999999997,-145006.99999999997,5,9,0.4480187892913818,1,7
1,4,145006.99999999997,-145006.99999999997,5,9,0.4491090774536133,1,8
1,4,145006.99999999997,-145006.99999999997,5,9,0.4463164806365967,1,9
1,4,145007.0,-145007.0,5,9,0.4465584754943847,2,0
1,4,145007.0,-145007.0,5,9,0.4481902122497558,2,1
1,4,145007.0,-145007.0,5,9,0.4455428123474121,2,2
1,4,145007.0,-145007.0,5,9,0.461707592010498,2,3
1,4,145007.0,-145007.0,5,9,0.4472265243530273,2,4
1,4,145007.0,-145007.0,5,9,0.4470777511596679,2,5
1,4,145007.0,-145007.0,5,9,0.4474408626556396,2,6
1,4,145007.0,-145007.0,5,9,0.4467153549194336,2,7
1,4,145007.0,-145007.0,5,9,0.4463293552398681,2,8
1,4,145007.0,-145007.0,5,9,0.4480969905853271,2,9
5,1,0.0978618223182011,0.1197645273392433,262,313,198.45839738845825,0,0
5,1,0.0978618223182011,0.1197645273392433,262,313,198.38630890846247,0,1
5,1,0.0978618223182011,0.1197645273392433,262,313,199.6187005043029,0,2
5,1,0.0978618223182011,0.1197645273392433,262,313,200.0967123508453,0,3
5,1,0.0978618223182011,0.1197645273392433,262,313,198.9749460220337,0,4
5,1,0.0978618223182011,0.1197645273392433,262,313,200.0940637588501,0,5
5,1,0.0978618223182011,0.1197645273392433,262,313,199.57935428619385,0,6
5,1,0.0978618223182011,0.1197645273392433,262,313,199.00279188156128,0,7
5,1,0.0978618223182011,0.1197645273392433,262,313,199.49731397628784,0,8
5,1,0.0978618223182011,0.1197645273392433,262,313,199.2453570365905,0,9
5,1,0.0978618223182011,0.1197645273392433,385,264,126.31405973434448,1,0
5,1,0.0978618223182011,0.1197645273392433,385,264,126.75162148475648,1,1
5,1,0.0978618223182011,0.1197645273392433,385,264,126.43532800674438,1,2
5,1,0.0978618223182011,0.1197645273392433,385,264,127.02404737472534,1,3
5,1,0.0978618223182011,0.1197645273392433,385,264,126.50961089134216,1,4
5,1,0.0978618223182011,0.1197645273392433,385,264,127.06329298019408,1,5
5,1,0.0978618223182011,0.1197645273392433,385,264,126.28482437133788,1,6
5,1,0.0978618223182011,0.1197645273392433,385,264,126.95096158981325,1,7
5,1,0.0978618223182011,0.1197645273392433,385,264,127.28650188446044,1,8
5,1,0.0978618223182011,0.1197645273392433,385,264,128.38285565376282,1,9
5,1,0.0978618223182011,0.1197645273392433,336,261,155.84414052963257,2,0
5,1,0.0978618223182011,0.1197645273392433,336,261,157.02299308776855,2,1
5,1,0.0978618223182011,0.1197645273392433,336,261,156.34214520454407,2,2
5,1,0.0978618223182011,0.1197645273392433,336,261,156.68516278266907,2,3
5,1,0.0978618223182011,0.1197645273392433,336,261,156.17243647575378,2,4
5,1,0.0978618223182011,0.1197645273392433,336,261,156.1030285358429,2,5
5,1,0.0978618223182011,0.1197645273392433,336,261,156.66544938087463,2,6
5,1,0.0978618223182011,0.1197645273392433,336,261,155.51496767997742,2,7
5,1,0.0978618223182011,0.1197645273392433,336,261,155.93630814552307,2,8
5,1,0.09786182231820112,0.11976452733924339,336,261,155.39795207977295,2,9
