N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002596,42.0,36.0,2.9438140392303467,0,1.0,2.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,50.0,39.0,2.7496449947357178,0,1.0,2.0,1e-05,0.01
3,1,0.103558376578837,0.1237810221002597,51.0,37.0,2.0797433853149414,0,1.0,2.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,45.0,31.0,2.7821950912475586,0,1.0,3.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,45.0,31.0,2.229381799697876,0,1.0,3.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,49.0,40.0,2.212613821029663,0,1.0,3.0,1e-05,1e-09
3,1,0.1035583765795518,0.1237810221002596,35.0,37.0,2.579586982727051,0,1.0,3.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,48.0,39.0,3.0285489559173584,0,1.0,3.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,39.0,3.293384790420532,0,1.0,3.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,58.0,47.0,3.091892957687378,0,1.0,3.0,1e-05,1e-07
3,1,0.103558376578837,0.1239327718092238,46.0,33.0,2.9540462493896484,0,1.0,3.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,39.0,3.382162570953369,0,1.0,3.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,48.0,39.0,3.3030502796173096,0,1.0,3.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,58.0,47.0,3.366930723190308,0,1.0,3.0,1e-05,1e-05
3,1,0.103558376578837,0.1239327718092238,46.0,33.0,1.951631546020508,0,1.0,3.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,53.0,42.0,3.246661424636841,0,1.0,3.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,53.0,42.0,3.2854223251342773,0,1.0,3.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,53.0,32.0,2.27974534034729,0,1.0,3.0,1e-05,0.01
3,1,0.103558376578837,0.1237810221007454,46.0,28.0,3.0042195320129395,0,1.0,3.0,0.01,0.01
3,1,0.103558376578837,0.1148446771450022,54.0,48.0,1.9356086254119875,0,2.0,1.0,1e-09,1e-09
3,1,0.103558376578837,0.1148446771450022,54.0,48.0,2.5561869144439697,0,2.0,1.0,1e-07,1e-09
3,1,0.1040374190600583,0.1237810221002597,55.0,46.0,1.981362581253052,0,2.0,1.0,1e-05,1e-09
3,1,0.103558376578837,0.1149964268536721,53.0,28.0,1.8886690139770508,0,2.0,1.0,0.01,1e-09
3,1,0.1038084879758112,0.1148446771450022,53.0,48.0,2.4238440990448,0,2.0,1.0,1e-09,1e-07
3,1,0.1038084879758112,0.1148446771450022,53.0,48.0,2.2959046363830566,0,2.0,1.0,1e-07,1e-07
3,1,0.1040893954762181,0.123586347114608,51.0,37.0,1.682703971862793,0,2.0,1.0,1e-05,1e-07
3,1,0.103558376578837,0.1148446771450022,53.0,37.0,1.9450578689575195,0,2.0,1.0,0.01,1e-07
3,1,0.1038084879758112,0.1148446771450022,53.0,48.0,2.386441230773926,0,2.0,1.0,1e-09,1e-05
3,1,0.1038084879758112,0.1148446771450022,53.0,48.0,1.971263647079468,0,2.0,1.0,1e-07,1e-05
3,1,0.1040893954762181,0.123586347114608,51.0,37.0,1.710387945175171,0,2.0,1.0,1e-05,1e-05
3,1,0.103558376578837,0.1148446771450022,53.0,37.0,1.9376790523529053,0,2.0,1.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002597,50.0,41.0,2.521596670150757,0,2.0,1.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002597,50.0,41.0,2.0442612171173096,0,2.0,1.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002597,57.0,47.0,1.8980648517608645,0,2.0,1.0,1e-05,0.01
3,1,0.1039841080693537,0.1237810221002596,40.0,39.0,2.078587055206299,0,2.0,1.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,52.0,37.0,2.045189619064331,0,2.0,2.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,52.0,37.0,1.6812036037445068,0,2.0,2.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,62.0,32.0,1.898646354675293,0,2.0,2.0,1e-05,1e-09
3,1,0.1039841080688403,0.1237810220998191,50.0,42.0,2.243203401565552,0,2.0,2.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002597,52.0,47.0,2.151238441467285,0,2.0,2.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002597,52.0,47.0,1.908099174499512,0,2.0,2.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,62.0,32.0,2.2539851665496826,0,2.0,2.0,1e-05,1e-07
3,1,0.1039841080688403,0.1236054020072305,50.0,43.0,1.7613856792449951,0,2.0,2.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002597,57.0,47.0,2.7568793296813965,0,2.0,2.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002597,57.0,47.0,2.3685758113861084,0,2.0,2.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,62.0,32.0,1.6721813678741455,0,2.0,2.0,1e-05,1e-05
3,1,0.1039841080688403,0.1236054020072305,50.0,43.0,1.5694465637207031,0,2.0,2.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,57.0,39.0,2.442535161972046,0,2.0,2.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,57.0,39.0,2.11251187324524,0,2.0,2.0,1e-07,0.01
3,1,0.103558376578837,0.1150202972380313,56.0,42.0,1.8626391887664795,0,2.0,2.0,1e-05,0.01
3,1,0.1040112453156713,0.1237810220998191,46.0,32.0,1.8619558811187744,0,2.0,2.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,55.0,44.0,3.577168703079224,0,2.0,3.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,55.0,44.0,3.0491597652435303,0,2.0,3.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,70.0,40.0,2.502283096313477,0,2.0,3.0,1e-05,1e-09
3,1,0.1035583765795518,0.1239327718092238,48.0,33.0,2.049560308456421,0,2.0,3.0,0.01,1e-09
3,1,0.1037930919397903,0.1237810221002596,53.0,37.0,2.045518159866333,0,2.0,3.0,1e-09,1e-07
3,1,0.1037930919397903,0.1237810221002596,53.0,37.0,2.5378077030181885,0,2.0,3.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.2040905952453613,0,2.0,3.0,1e-05,1e-07
3,1,0.103558376578837,0.1237810220995449,52.0,35.0,2.531583070755005,0,2.0,3.0,0.01,1e-07
3,1,0.1037930919397903,0.1237810221002596,53.0,37.0,2.674908399581909,0,2.0,3.0,1e-09,1e-05
3,1,0.1037930919397903,0.1237810221002596,53.0,37.0,2.6637392044067383,0,2.0,3.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.67621111869812,0,2.0,3.0,1e-05,1e-05
3,1,0.103558376578837,0.1237810220995449,52.0,35.0,2.2083866596221924,0,2.0,3.0,0.01,1e-05
