N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE,METHOD
1,4,145006.99999999997,-145006.99999999997,5,9,0.7336306571960449,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,19,30,0.7275412082672119,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,5,9,0.7312791347503662,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,9,7,0.6459178924560547,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,5,9,0.6428408622741699,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5,9,0.6207199096679688,,,,,4.0
